0	0   0	86	1	2
0	0	1	103	-2	1
0	0	1	102	0	1
0	0	1	103	-2	1
0	0	1	102	0	1
0	0	1	102	-2	1
0	0	1	103	-2	1
0	0	1	105	-2	1
0	0	1	11	-1	1
0	0	1	105	-2	2
0	0	1	105	-2	2
0	0	1	8	-1.2	1
0	0	1	6	-1	1
0	0	1	8	-3	1
0	1	1	6	-1	1
0	1	1	6	-3	1
0	1	1	6	-3	1
0	1	1	5	-1	0
0	1	1	5	-3	2
0	1	1	4	-1	0
0	1	1	4	-3	2
0	1	1	3	-1	0
0	1	1	2	-1	0
1	1	1	3	-3.2	2
1	1	1	15	-3	1
1	1	1	13	-1	1
1	1	1	12	-1	1
1	1	1	12	-3	1
1	1	1	0	-1	0
1	1	1	7	-3	2
1	1	1	4	-1	0
1	1	1	11	-3	2
1	1	1	4	-1	0
1	1	1	6	-3	2
1	1	1	3	-1	0
1	1	1	6	-3	2
1	1	1	4	-1	0
1	1	1	6	-3	2
1	1	1	3	-1	0
1	1	1	5	-3	2
1	1	1	2	-1	0
1	1	1	2	-3	0
1	1	1	2	-3.2	0
0	1	1	3	-3.2	2
0	1	1	5	-3	0
0	1	1	2	-1	0
0	1	1	2	-3.2	0
0	1	1	2	-3.2	0
0	1	1	2	-3.2	0
0	1	1	3	-3.2	2
0	1	1	4	-3	0
0	1	1	4	-3	2
0	1	1	4	-3	0
0	1	1	4	-3	2
0	1	1	5	-3	0
0	0	1	6	-3	2
0	0	1	8	-3	1
0	0	1	11	-3	1
0	0	1	91	-2	1
0	0	1	91	-2	2
0	0	1	45	0	1
0	0	1	88	-2	2
0	0	1	86	0	2
0	0	1	86	-2.2	2
0	0	1	85	-0.2	2
0	0	1	81	-0.2	2
0	0	1	80	-0.2	2
0	0	1	80	-2.2	1
0	0	1	79	0	2
0	0	1	80	-2	1
0	0	1	80	-2	2
0	0	1	80	-2	1
0	0	1	80	-2	2
0	0	1	79	0	1
0	0	1	79	-2	2
0	0	1	78	0	1
0	0	1	79	-2	2
0	0	1	79	-2	1
0	0	1	80	-2	2
0	0	1	79	0	1
0	0	1	79	-2	2
0	0	1	79	-2	1
0	0	1	80	-2	2
0	0	1	79	0	1
0	0	1	79	-2	2
0	0	1	81	-2	1
0	0	1	81	-2	1
0	0	1	85	-2	1
0	0	1	7	-1	1
0	0	1	6	-1	1
0	1	1	4	-1	0
0	1	1	4	-3	1
1	1	0	2	-1	0
1	1	0	4	-3	1
1	1	0	4	-3	0
1	1	0	4	-3	1
1	1	0	4	-3	0
1	1	0	3	-1	1
1	1	0	3	-3	0
1	1	0	3	-3	2
1	1	0	2	-1	0
1	1	0	3	-3	2
1	1	0	2	-1	0
1	1	1	2	-3	0
1	1	1	2	-3.2	0
1	1	1	2	-3.2	1
1	1	1	3	-3	0
0	1	1	3	-3	1
0	1	1	3	-3	0
0	1	1	3	-3	1
0	1	1	2	-1	0
0	1	1	4	-3	1
0	1	1	4	-3	0
0	1	1	4	-3	2
0	1	1	4	-3	0
0	0	1	6	-3	2
0	0	1	8	-3	1
0	0	1	9	-3	1
0	0	1	13	-3	1
0	0	1	84	-2	1
0	0	1	82	0	1
0	0	1	81	0	1
0	0	1	79	0	1
0	0	0	81	-0.8	1
0	0	0	78	1.2	1
0	0	0	77	1.2	1
0	0	0	76	1.2	1
0	0	0	75	1.2	1
0	0	0	73	1.2	1
0	0	0	72	1.2	1
0	0	0	69	1.2	1
0	0	0	68	1.2	1
0	0	0	66	1.2	1
0	0	0	65	1.2	1
0	0	0	62	1.2	1
0	0	1	60	0	1
0	0	1	59	0	1
0	0	1	57	0	1
0	0	1	55	0	1
0	0	1	53	0	1
0	0	1	50	0	1
0	0	1	48	0	1
0	0	1	46	0	1
0	0	1	44	0	1
0	0	1	42	0	1
0	0	1	40	0	1
0	0	1	39	0	1
0	0	1	37	0	1
0	0	1	33	0	1
0	0	1	30	0	1
0	0	1	31	-2	1
0	0	1	28	0	1
0	0	1	27	0	1
0	0	1	25	0	1
0	0	1	23	0	1
0	0	1	22	0	1
0	0	1	20	0	1
0	0	1	18	0	1
0	0	1	17	0	1
0	0	1	16	0	1
0	0	1	16	-2	1
0	0	1	13	-1	1
0	0	1	12	-1	1
0	0	1	10	-1	1
0	0	1	8	-1	1
0	0	1	7	-1	1
0	0	1	5	-1	1
0	1	1	4	-1	0
1	1	1	3	-1	1
1	1	1	2	-1	0
1	1	1	6	-3	1
1	1	1	14	-3	1
1	1	1	0	-1	0
1	1	1	0	-3	0
1	1	1	0	-3.2	0
1	1	1	0	-3.2	0
1	1	1	11	-3.2	2
1	1	1	11	-3	1
1	1	1	10	-1	1
1	1	1	10	-3	1
1	1	1	11	-3	1
1	1	1	9	-1	1
1	1	1	7	-1	1
1	1	1	9	-3	1
1	1	1	4	-1	0
1	1	1	0	-1	0
1	1	1	5	-3.2	2
1	1	1	3	-1	0
1	1	1	3	-3	2
1	1	1	3	-3	0
1	1	1	21	-2	2
1	1	1	12	-1	1
1	1	1	13	-3	1
1	1	1	5	-1	1
1	1	1	5	-3	2
1	1	1	6	-3	0
1	1	1	37	-2	2
1	1	1	0	-1	0
1	1	1	0	-3	0
1	1	1	0	-3.2	0
1	1	1	0	-3.2	0
1	1	1	0	-3.2	0
1	1	1	0	-3.2	0
