2019-01-11 17:17:05.628200	S_L		S_M		S_R		Dis_1		Dis_2		Act
2019-01-11 17:17:35.385207	0		0		0		202		139		w
2019-01-11 17:17:35.546951	0		0		1		201		131		w
2019-01-11 17:17:35.708240	0		0		1		199		121		w
2019-01-11 17:17:35.869287	0		0		0		198		111		w
2019-01-11 17:17:36.029598	0		0		0		199		101		w
2019-01-11 17:17:36.188933	0		0		0		199		92		w
2019-01-11 17:17:36.347830	0		0		0		200		84		w
2019-01-11 17:17:36.506102	0		0		0		198		75		w
2019-01-11 17:17:36.663996	0		1		0		200		65		w
2019-01-11 17:17:36.822199	0		0		0		205		56		w
2019-01-11 17:17:37.137008	0		0		0		201		42		d
2019-01-11 17:17:37.316716	0		0		0		276		0		d
2019-01-11 17:17:37.470522	0		1		0		7		189		w
2019-01-11 17:17:37.634276	0		1		0		184		182		w
2019-01-11 17:17:37.797674	0		0		0		175		172		w
2019-01-11 17:17:37.960974	0		0		0		188		163		w
2019-01-11 17:17:38.123562	0		0		0		190		156		w
2019-01-11 17:17:38.285853	0		0		0		194		146		w
2019-01-11 17:17:38.447432	0		0		0		197		132		w
2019-01-11 17:17:38.608734	0		1		0		109		121		w
2019-01-11 17:17:38.770456	0		1		0		203		120		d
2019-01-11 17:17:38.931830	0		0		0		197		120		d
2019-01-11 17:17:39.095663	0		0		1		232		134		w
2019-01-11 17:17:39.252013	0		0		0		115		125		w
2019-01-11 17:17:39.415381	1		0		0		166		191		w
2019-01-11 17:17:39.571790	0		0		0		122		108		w
2019-01-11 17:17:39.734076	0		0		0		129		202		w
2019-01-11 17:17:39.895434	0		0		0		219		100		w
2019-01-11 17:17:40.051744	0		0		0		146		93		w
2019-01-11 17:17:40.208998	0		0		0		170		86		w
2019-01-11 17:17:40.366719	0		0		0		156		106		d
2019-01-11 17:17:40.526524	0		0		0		158		139		d
2019-01-11 17:17:40.686182	0		0		0		156		133		d
2019-01-11 17:17:40.845604	0		0		0		159		133		w
2019-01-11 17:17:41.004650	0		0		0		159		126		w
2019-01-11 17:17:41.164495	0		1		0		181		118		w
2019-01-11 17:17:41.322933	0		0		1		163		112		w
2019-01-11 17:17:41.480175	0		0		1		142		102		w
2019-01-11 17:17:41.636378	0		1		0		137		93		w
2019-01-11 17:17:41.791456	0		0		0		132		87		w
2019-01-11 17:17:41.945807	0		0		0		129		77		w
2019-01-11 17:17:42.099681	0		0		0		125		69		d
2019-01-11 17:17:42.254395	0		0		0		133		77		d
2019-01-11 17:17:42.414610	0		0		0		139		107		d
2019-01-11 17:17:42.572235	0		0		0		158		103		d
2019-01-11 17:17:42.731452	0		0		0		164		118		w
2019-01-11 17:17:42.889530	0		0		0		123		145		w
2019-01-11 17:17:43.047171	0		0		0		125		137		w
2019-01-11 17:17:43.205009	0		1		0		129		131		w
2019-01-11 17:17:43.364819	0		1		0		129		155		w
2019-01-11 17:17:43.520814	0		0		0		140		92		w
2019-01-11 17:17:43.676987	0		0		0		145		91		d
2019-01-11 17:17:43.833846	0		0		0		146		102		d
2019-01-11 17:17:43.989053	0		0		0		115		99		w
2019-01-11 17:17:44.145732	0		0		0		145		91		w
2019-01-11 17:17:44.301947	0		0		0		144		83		w
2019-01-11 17:17:44.457099	0		0		0		138		75		w
2019-01-11 17:17:44.611236	0		0		0		134		68		w
2019-01-11 17:17:44.765073	0		0		0		124		63		d
2019-01-11 17:17:45.086308	0		0		0		217		117		d
2019-01-11 17:17:45.245916	0		0		0		166		119		d
2019-01-11 17:17:45.403035	0		0		0		112		128		w
2019-01-11 17:17:45.560930	0		0		0		107		148		w
2019-01-11 17:17:45.718492	0		0		0		113		138		w
2019-01-11 17:17:45.875852	0		1		0		116		130		w
2019-01-11 17:17:46.031287	0		0		0		121		93		w
2019-01-11 17:17:46.186437	0		0		0		127		82		w
2019-01-11 17:17:46.343477	0		0		1		132		109		w
2019-01-11 17:17:46.500373	0		0		0		139		99		w
2019-01-11 17:17:46.656859	0		0		0		140		92		w
2019-01-11 17:17:46.813724	0		0		0		151		85		w
2019-01-11 17:17:46.967408	0		0		0		152		35		w
2019-01-11 17:17:47.123514	0		0		0		159		76		w
2019-01-11 17:17:47.279120	0		0		0		160		67		w
2019-01-11 17:17:47.431755	0		0		0		116		58		w
2019-01-11 17:17:47.589102	1		1		1		181		74		w
2019-01-11 17:17:47.742309	0		0		0		114		66		a
2019-01-11 17:17:47.890251	0		0		0		51		45		a
2019-01-11 17:17:48.037945	1		0		0		49		44		a
2019-01-11 17:17:48.188449	0		0		0		55		86		a
2019-01-11 17:17:48.343650	0		0		0		57		164		a
2019-01-11 17:17:48.498625	0		0		0		51		161		a
2019-01-11 17:17:48.671212	0		0		0		0		191		a
2019-01-11 17:17:48.834070	0		0		0		173		165		w
2019-01-11 17:17:48.996271	0		0		0		172		156		w
2019-01-11 17:17:49.157704	0		0		0		170		146		w
2019-01-11 17:17:49.318608	0		0		0		170		137		w
2019-01-11 17:17:49.478809	0		0		0		168		127		w
2019-01-11 17:17:49.638501	0		0		0		169		117		w
2019-01-11 17:17:49.797649	0		0		0		166		35		w
2019-01-11 17:17:49.956084	0		0		0		166		98		w
2019-01-11 17:17:50.114034	0		0		0		168		89		w
2019-01-11 17:17:50.271554	0		0		0		169		80		w
2019-01-11 17:17:50.428534	0		0		0		168		72		w
2019-01-11 17:17:50.584967	1		0		0		168		63		w
2019-01-11 17:17:50.741047	0		0		1		170		54		w
2019-01-11 17:17:50.896670	0		0		0		170		46		a
2019-01-11 17:17:51.048779	0		0		0		112		47		a
2019-01-11 17:17:51.204839	0		0		0		189		46		a
2019-01-11 17:17:51.352619	0		0		0		53		41		a
2019-01-11 17:17:51.500840	1		0		0		54		47		a
2019-01-11 17:17:51.657886	0		0		0		75		175		a
2019-01-11 17:17:51.813950	0		0		1		50		171		w
2019-01-11 17:17:51.968928	0		0		0		49		166		w
2019-01-11 17:17:52.123429	0		1		0		51		158		w
2019-01-11 17:17:52.277521	0		0		0		52		149		w
2019-01-11 17:17:52.431876	0		0		0		55		141		w
2019-01-11 17:17:52.584904	0		0		0		56		74		w
2019-01-11 17:17:52.739585	0		0		0		58		125		w
2019-01-11 17:17:52.891746	0		0		0		61		53		w
2019-01-11 17:17:53.044580	0		0		0		64		107		w
2019-01-11 17:17:53.195936	0		0		0		70		26		w
2019-01-11 17:17:53.348299	0		0		0		73		90		w
2019-01-11 17:17:53.499029	0		0		0		72		8		w
2019-01-11 17:17:53.650249	0		0		0		76		73		w
2019-01-11 17:17:53.952244	0		0		0		82		57		w
2019-01-11 17:17:54.102417	0		0		0		86		50		w
2019-01-11 17:17:54.252519	0		0		0		90		44		w
2019-01-11 17:17:54.418788	0		0		1		95		0		a
2019-01-11 17:17:54.726725	0		0		1		109		21		a
2019-01-11 17:17:54.878022	0		0		0		40		114		a
2019-01-11 17:17:55.029688	0		0		0		45		115		a
2019-01-11 17:17:55.190549	0		0		0		134		179		w
2019-01-11 17:17:55.350068	0		0		0		119		171		w
2019-01-11 17:17:55.509889	0		0		0		129		159		w
2019-01-11 17:17:55.668073	0		0		0		113		151		w
2019-01-11 17:17:55.825206	0		0		0		110		143		w
2019-01-11 17:17:55.981575	0		0		0		106		134		w
2019-01-11 17:17:56.137295	0		0		1		104		125		w
2019-01-11 17:17:56.292225	0		0		0		100		116		w
2019-01-11 17:17:56.446816	1		0		0		97		107		w
2019-01-11 17:17:56.600481	0		0		0		96		98		w
2019-01-11 17:17:56.753467	0		0		0		94		89		w
2019-01-11 17:17:56.905773	0		0		0		90		82		w
2019-01-11 17:17:57.057630	0		0		0		89		74		w
2019-01-11 17:17:57.208924	0		0		0		85		65		w
2019-01-11 17:17:57.360105	0		0		0		84		57		w
2019-01-11 17:17:57.511144	0		0		0		81		48		a
2019-01-11 17:17:57.660758	0		0		0		79		40		a
2019-01-11 17:17:57.809854	0		1		0		81		36		w
2019-01-11 17:17:57.958711	0		0		0		83		31		w
2019-01-11 17:17:58.106975	0		0		0		84		19		w
2019-01-11 17:17:58.255016	0		0		0		85		11		w
2019-01-11 17:17:58.403674	0		0		0		88		5		a
2019-01-11 17:17:58.552042	0		1		0		92		7		a
2019-01-11 17:17:58.699875	0		1		0		90		6		a
2019-01-11 17:17:58.848028	0		1		0		81		21		a
2019-01-11 17:17:58.994506	0		0		0		24		48		a
2019-01-11 17:17:59.145879	0		0		0		20		135		a
2019-01-11 17:17:59.309866	0		0		1		157		207		a
2019-01-11 17:17:59.472718	0		1		1		147		201		w
2019-01-11 17:17:59.635314	0		0		0		150		196		w
2019-01-11 17:17:59.797473	1		0		0		152		187		w
2019-01-11 17:17:59.959348	0		0		0		153		181		w
2019-01-11 17:18:00.121187	0		0		0		156		171		w
2019-01-11 17:18:00.282253	0		0		0		158		162		w
2019-01-11 17:18:00.442821	0		0		0		162		150		w
2019-01-11 17:18:00.603004	0		0		0		164		142		w
2019-01-11 17:18:00.762956	0		0		0		168		133		w
2019-01-11 17:18:00.922987	0		0		0		173		123		w
2019-01-11 17:18:01.077289	0		0		0		87		117		d
2019-01-11 17:18:01.236399	0		0		0		177		110		d
2019-01-11 17:18:01.395852	0		0		0		181		113		d
